name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,1,"PBPP3: beta(1, 1)",a0,0.0053,0.0037,0.0054,0.0038,3e-04,0.0167,0.9994,2287,1298
S4,1,"PBPP3: beta(1, 1)",sigma,3.5967,3.571,0.2737,0.2729,3.1857,4.0597,1.0013,2617,1485
S4,1,"PBPP3: beta(1, 1)",beta00,100.0755,100.072,3.1479,2.3452,95.206,104.7816,1.0021,2508,792
S4,1,"PBPP3: beta(1, 1)",sigma_b0,2.1525,1.6156,2.0665,1.4833,0.1489,5.8072,1.0003,2337,1152
S4,1,"PBPP3: beta(1, 1)",beta0,100.6629,100.678,0.7472,0.7035,99.3585,101.8992,1.0066,1094,1310
S4,1,"PBPP3: beta(1, 1)",sigma_b,2.2684,2.1692,0.6893,0.645,1.3122,3.5498,1.0006,964,1393
S4,1,"PBPP3: beta(5, 5)",a0,0.0298,0.0278,0.0134,0.0129,0.0119,0.0545,1.0019,3425,1178
S4,1,"PBPP3: beta(5, 5)",sigma,3.5665,3.5547,0.2701,0.2598,3.1493,4.0361,1.0005,3253,1528
S4,1,"PBPP3: beta(5, 5)",beta00,100.0151,100.043,1.7594,1.6133,97.0111,102.794,1.0053,2857,1201
S4,1,"PBPP3: beta(5, 5)",sigma_b0,1.4096,1.1281,1.1638,1.021,0.1002,3.6361,0.9993,1855,954
S4,1,"PBPP3: beta(5, 5)",beta0,100.6941,100.6965,0.7576,0.748,99.399,101.926,1,1138,1253
S4,1,"PBPP3: beta(5, 5)",sigma_b,2.2819,2.216,0.7015,0.6499,1.2886,3.4896,1.0004,944,1218
S4,1,"PBPP3: beta(10, 10)",a0,0.0597,0.0576,0.0193,0.0181,0.032,0.0949,1.0012,3518,1210
S4,1,"PBPP3: beta(10, 10)",sigma,3.5231,3.5119,0.2703,0.2689,3.1133,3.9748,1.0009,2245,1321
S4,1,"PBPP3: beta(10, 10)",beta00,99.9708,99.9678,1.353,1.2316,97.7499,102.2186,0.9998,3669,1363
